tool,strain,length,flag,position,threshold,cov,n
breakdancer,A_J,105255,TN,32879443,100,16,10
breakdancer,A_J,155593,TN,34223998,100,16,10
breakdancer,A_J,94233,TN,34982160,100,16,10
breakdancer,A_J,292998,TN,36469573,100,16,10
breakdancer,A_J,39010,TN,36763850,100,16,10
breakdancer,A_J,254800,TN,36803144,100,16,10
breakdancer,A_J,22182,TN,37595291,100,16,10
breakdancer,A_J,174283,TN,37624486,100,16,10
breakdancer,A_J,1271,TN,38019337,100,16,10
breakdancer,A_J,7215,TN,38021950,100,16,10
breakdancer,A_J,134918,TN,38080309,100,16,10
breakdancer,A_J,2556,TN,39143102,100,16,10
breakdancer,A_J,4072,TN,39388319,100,16,10
breakdancer,A_J,842,TN,39516852,100,16,10
breakdancer,A_J,12969,TN,39524260,100,16,10
breakdancer,A_J,62081,TN,39537829,100,16,10
breakdancer,A_J,270546,TN,40237918,100,16,10
breakdancer,A_J,298373,TN,40624606,100,16,10
breakdancer,A_J,122870,TN,41936676,100,16,10
breakdancer,A_J,91023,TN,42350310,100,16,10
breakdancer,A_J,21899,TN,42441567,100,16,10
breakdancer,A_J,155949,TN,42783482,100,16,10
breakdancer,A_J,58622,TN,42939824,100,16,10
breakdancer,A_J,13965,TN,43005059,100,16,10
breakdancer,A_J,26982,TN,43020054,100,16,10
breakdancer,A_J,13024,TN,44613069,100,16,10
breakdancer,A_J,463324,TN,44626709,100,16,10
breakdancer,A_J,207136,TN,45810858,100,16,10
breakdancer,A_J,45810,TN,46605655,100,16,10
breakdancer,A_J,33559,TN,46719118,100,16,10
breakdancer,A_J,1678,TN,47156559,100,16,10
breakdancer,A_J,4287,TN,47158953,100,16,10
breakdancer,A_J,22433,TN,47172177,100,16,10
breakdancer,A_J,254385,TN,47695215,100,16,10
breakdancer,A_J,23402,TN,47950026,100,16,10
breakdancer,A_J,25344,TN,50601957,100,16,10
breakdancer,A_J,39626,TN,50756164,100,16,10
breakdancer,A_J,32770,TN,50796155,100,16,10
breakdancer,A_J,15342,TN,50892394,100,16,10
breakdancer,A_J,177300,TN,50908612,100,16,10
breakdancer,A_J,16177,TN,51092363,100,16,10
breakdancer,A_J,1188072,TN,51115153,100,16,10
breakdancer,A_J,414945,TN,52309665,100,16,10
breakdancer,A_J,26083,TN,52725794,100,16,10
breakdancer,A_J,14288,TN,52971307,100,16,10
breakdancer,A_J,52484,TN,57774665,100,16,10
breakdancer,A_J,7986,TN,59213903,100,16,10
breakdancer,A_J,97534,TN,59224784,100,16,10
breakdancer,A_J,51688,TN,59610511,100,16,10
breakdancer,A_J,46775,TN,59767300,100,16,10
breakdancer,A_J,4772,TN,59820224,100,16,10
breakdancer,A_J,45358,TN,59826681,100,16,10
breakdancer,A_J,18885,TN,59999847,100,16,10
breakdancer,A_J,31292,TN,60024946,100,16,10
breakdancer,A_J,18096,TN,60291194,100,16,10
breakdancer,A_J,37982,TN,60309623,100,16,10
breakdancer,A_J,12931,TN,60572947,100,16,10
breakdancer,A_J,1455,TN,60642339,100,16,10
breakdancer,A_J,42343,TN,4346053,100,16,6
breakdancer,A_J,29155,TN,5406823,100,16,6
breakdancer,A_J,18777,TN,9483347,100,16,6
breakdancer,A_J,47746,TN,10110570,100,16,6
breakdancer,A_J,102480,TN,10568445,100,16,6
breakdancer,A_J,5133,TN,10802539,100,16,6
breakdancer,A_J,146472,TN,10808053,100,16,6
breakdancer,A_J,7481,TN,11152203,100,16,6
breakdancer,A_J,57196,TN,11159872,100,16,6
breakdancer,A_J,15397,TN,11577684,100,16,6
breakdancer,A_J,6631,TN,12815146,100,16,6
breakdancer,A_J,311888,TN,15527529,100,16,6
breakdancer,A_J,88844,TN,18197280,100,16,6
breakdancer,A_J,151324,TN,18699570,100,16,6
breakdancer,A_J,91784,TN,19322750,100,16,6
breakdancer,A_J,347311,TN,19416203,100,16,6
breakdancer,A_J,77843,TN,19985551,100,16,6
breakdancer,A_J,11140,TN,20755380,100,16,6
breakdancer,A_J,16925,TN,21515584,100,16,6
breakdancer,A_J,347093,TN,21534427,100,16,6
breakdancer,A_J,1027,TN,21949344,100,16,6
breakdancer,A_J,22732,TN,21953471,100,16,6
breakdancer,A_J,18026,TN,22159247,100,16,6
breakdancer,A_J,70727,TN,22651681,100,16,6
breakdancer,A_J,130887,TN,23619821,100,16,6
breakdancer,A_J,39252,TN,23753995,100,16,6
breakdancer,A_J,135647,TN,24147600,100,16,6
breakdancer,A_J,3491,TN,24283644,100,16,6
breakdancer,A_J,8735,TN,24287490,100,16,6
breakdancer,A_J,8725,TN,24300017,100,16,6
breakdancer,A_J,296467,TN,25372213,100,16,6
breakdancer,A_J,157951,TN,25670089,100,16,6
breakdancer,A_J,359368,TN,27133477,100,16,6
breakdancer,A_J,205096,TN,27497767,100,16,6
breakdancer,A_J,391350,TN,27758164,100,16,6
breakdancer,A_J,52004,TN,28156133,100,16,6
breakdancer,A_J,237109,TN,28242435,100,16,6
breakdancer,A_J,975105,TN,28685462,100,16,6
breakdancer,A_J,155593,TN,34223998,100,16,6
breakdancer,A_J,39011,TN,36763849,100,16,6
breakdancer,A_J,254902,TN,36803144,100,16,6
breakdancer,A_J,22167,TN,37595291,100,16,6
breakdancer,A_J,174240,TN,37624486,100,16,6
breakdancer,A_J,1269,TN,38019337,100,16,6
breakdancer,A_J,134890,TN,38080308,100,16,6
breakdancer,A_J,2541,TN,39143102,100,16,6
breakdancer,A_J,915,TN,39516782,100,16,6
breakdancer,A_J,12961,TN,39524260,100,16,6
breakdancer,A_J,62062,TN,39537821,100,16,6
breakdancer,A_J,5263,TN,40096342,100,16,6
breakdancer,A_J,270572,TN,40237918,100,16,6
breakdancer,A_J,16511,TN,41472962,100,16,6
breakdancer,A_J,35492,TN,41489792,100,16,6
breakdancer,A_J,120936,TN,41526974,100,16,6
breakdancer,A_J,25144,TN,42059739,100,16,6
breakdancer,A_J,91006,TN,42350310,100,16,6
breakdancer,A_J,21907,TN,42441559,100,16,6
breakdancer,A_J,155957,TN,42783482,100,16,6
breakdancer,A_J,58620,TN,42939824,100,16,6
breakdancer,A_J,13957,TN,43005060,100,16,6
breakdancer,A_J,26981,TN,43020055,100,16,6
breakdancer,A_J,13031,TN,44613069,100,16,6
breakdancer,A_J,463294,TN,44626714,100,16,6
breakdancer,A_J,207063,TN,45810858,100,16,6
breakdancer,A_J,45802,TN,46605663,100,16,6
breakdancer,A_J,33559,TN,46719118,100,16,6
breakdancer,A_J,1647,TN,47156587,100,16,6
breakdancer,A_J,4276,TN,47158953,100,16,6
breakdancer,A_J,293873,TN,47196448,100,16,6
breakdancer,A_J,203712,TN,47490606,100,16,6
breakdancer,A_J,254373,TN,47695215,100,16,6
breakdancer,A_J,23423,TN,47950026,100,16,6
breakdancer,A_J,40485,TN,50557878,100,16,6
breakdancer,A_J,25353,TN,50601957,100,16,6
breakdancer,A_J,39605,TN,50756164,100,16,6
breakdancer,A_J,15330,TN,50892394,100,16,6
breakdancer,A_J,177275,TN,50908617,100,16,6
breakdancer,A_J,16095,TN,51092363,100,16,6
breakdancer,A_J,1188072,TN,51115153,100,16,6
breakdancer,A_J,414965,TN,52309657,100,16,6
breakdancer,A_J,14288,TN,52971307,100,16,6
breakdancer,A_J,52562,TN,57774587,100,16,6
breakdancer,A_J,8021,TN,59213903,100,16,6
breakdancer,A_J,97534,TN,59224784,100,16,6
breakdancer,A_J,51695,TN,59610511,100,16,6
breakdancer,A_J,46761,TN,59767324,100,16,6
breakdancer,A_J,18895,TN,59999847,100,16,6
breakdancer,A_J,31292,TN,60024946,100,16,6
breakdancer,A_J,13329,TN,60056825,100,16,6
breakdancer,A_J,37984,TN,60309623,100,16,6
breakdancer,A_J,12931,TN,60572947,100,16,6
breakdancer,A_J,13637,TN,60627600,100,16,6
breakdancer,A_J,1424,TN,60642338,100,16,6
breakdancer,A_J,29155,TN,5406823,100,16,7
breakdancer,A_J,6470,TN,5436826,100,16,7
breakdancer,A_J,18777,TN,9483347,100,16,7
breakdancer,A_J,47722,TN,10110570,100,16,7
breakdancer,A_J,13680,TN,10166469,100,16,7
breakdancer,A_J,102508,TN,10568417,100,16,7
breakdancer,A_J,5213,TN,10802459,100,16,7
breakdancer,A_J,146485,TN,10808053,100,16,7
breakdancer,A_J,7427,TN,11152203,100,16,7
breakdancer,A_J,57196,TN,11159872,100,16,7
breakdancer,A_J,15407,TN,11577674,100,16,7
breakdancer,A_J,3548,TN,11938746,100,16,7
breakdancer,A_J,219781,TN,12595116,100,16,7
breakdancer,A_J,6644,TN,12815129,100,16,7
breakdancer,A_J,311908,TN,15527513,100,16,7
breakdancer,A_J,88844,TN,18197280,100,16,7
breakdancer,A_J,151289,TN,18699567,100,16,7
breakdancer,A_J,91758,TN,19322772,100,16,7
breakdancer,A_J,347313,TN,19416203,100,16,7
breakdancer,A_J,77895,TN,19985499,100,16,7
breakdancer,A_J,11150,TN,20755380,100,16,7
breakdancer,A_J,997,TN,21949374,100,16,7
breakdancer,A_J,22659,TN,21953471,100,16,7
breakdancer,A_J,17995,TN,22159247,100,16,7
breakdancer,A_J,70681,TN,22651681,100,16,7
breakdancer,A_J,39252,TN,23753995,100,16,7
breakdancer,A_J,3491,TN,24283644,100,16,7
breakdancer,A_J,8733,TN,24287492,100,16,7
breakdancer,A_J,51196,TN,25210852,100,16,7
breakdancer,A_J,2369,TN,25262393,100,16,7
breakdancer,A_J,296463,TN,25372213,100,16,7
breakdancer,A_J,157951,TN,25670089,100,16,7
breakdancer,A_J,64454,TN,25830311,100,16,7
breakdancer,A_J,417634,TN,26713808,100,16,7
breakdancer,A_J,359389,TN,27133477,100,16,7
breakdancer,A_J,205080,TN,27497767,100,16,7
breakdancer,A_J,391350,TN,27758164,100,16,7
breakdancer,A_J,52006,TN,28156133,100,16,7
breakdancer,A_J,237095,TN,28242449,100,16,7
breakdancer,A_J,167287,TN,32209572,100,16,7
breakdancer,A_J,105342,TN,32879443,100,16,7
breakdancer,A_J,155583,TN,34223998,100,16,7
breakdancer,A_J,39011,TN,36763849,100,16,7
breakdancer,A_J,419957,TN,37058406,100,16,7
breakdancer,A_J,22165,TN,37595293,100,16,7
breakdancer,A_J,174283,TN,37624486,100,16,7
breakdancer,A_J,2524,TN,39143119,100,16,7
breakdancer,A_J,4086,TN,39388319,100,16,7
breakdancer,A_J,897,TN,39516782,100,16,7
breakdancer,A_J,62102,TN,39537820,100,16,7
breakdancer,A_J,5271,TN,40096342,100,16,7
breakdancer,A_J,270572,TN,40237918,100,16,7
breakdancer,A_J,60038,TN,40561755,100,16,7
breakdancer,A_J,73004,TN,41394974,100,16,7
breakdancer,A_J,35492,TN,41489792,100,16,7
breakdancer,A_J,91006,TN,42350310,100,16,7
breakdancer,A_J,21931,TN,42441535,100,16,7
breakdancer,A_J,155977,TN,42783482,100,16,7
breakdancer,A_J,58620,TN,42939824,100,16,7
breakdancer,A_J,13978,TN,43005060,100,16,7
breakdancer,A_J,26994,TN,43020055,100,16,7
breakdancer,A_J,13025,TN,44613071,100,16,7
breakdancer,A_J,207010,TN,45810962,100,16,7
breakdancer,A_J,33531,TN,46719118,100,16,7
breakdancer,A_J,1675,TN,47156559,100,16,7
breakdancer,A_J,4278,TN,47158953,100,16,7
breakdancer,A_J,293873,TN,47196448,100,16,7
breakdancer,A_J,254385,TN,47695215,100,16,7
breakdancer,A_J,23423,TN,47950026,100,16,7
breakdancer,A_J,40485,TN,50557878,100,16,7
breakdancer,A_J,25330,TN,50601957,100,16,7
breakdancer,A_J,39626,TN,50756164,100,16,7
breakdancer,A_J,32757,TN,50796155,100,16,7
breakdancer,A_J,15342,TN,50892394,100,16,7
breakdancer,A_J,16180,TN,51092370,100,16,7
breakdancer,A_J,1188080,TN,51115153,100,16,7
breakdancer,A_J,414930,TN,52309693,100,16,7
breakdancer,A_J,26057,TN,52725795,100,16,7
breakdancer,A_J,14288,TN,52971307,100,16,7
breakdancer,A_J,52562,TN,57774587,100,16,7
breakdancer,A_J,7986,TN,59213903,100,16,7
breakdancer,A_J,97539,TN,59224784,100,16,7
breakdancer,A_J,51695,TN,59610511,100,16,7
breakdancer,A_J,46785,TN,59767300,100,16,7
breakdancer,A_J,4842,TN,59820224,100,16,7
breakdancer,A_J,18899,TN,59999847,100,16,7
breakdancer,A_J,31263,TN,60024946,100,16,7
breakdancer,A_J,37949,TN,60309658,100,16,7
breakdancer,A_J,1456,TN,60642338,100,16,7
breakdancer,A_J,3067,TN,60654057,100,16,7
breakdancer,A_J,919,TN,61025771,100,16,7
breakdancer,A_J,247388,TN,61192455,100,16,7
breakdancer,A_J,42297,TN,4346053,100,16,8
breakdancer,A_J,39528,TN,4388661,100,16,8
breakdancer,A_J,29155,TN,5406823,100,16,8
breakdancer,A_J,18769,TN,9483347,100,16,8
breakdancer,A_J,102508,TN,10568417,100,16,8
breakdancer,A_J,146486,TN,10808053,100,16,8
breakdancer,A_J,7486,TN,11152203,100,16,8
breakdancer,A_J,57211,TN,11159872,100,16,8
breakdancer,A_J,15390,TN,11577674,100,16,8
breakdancer,A_J,32065,TN,11906489,100,16,8
breakdancer,A_J,219763,TN,12595117,100,16,8
breakdancer,A_J,311908,TN,15527513,100,16,8
breakdancer,A_J,151316,TN,18699566,100,16,8
breakdancer,A_J,347311,TN,19416203,100,16,8
breakdancer,A_J,77859,TN,19985551,100,16,8
breakdancer,A_J,11170,TN,20755380,100,16,8
breakdancer,A_J,1006,TN,21949365,100,16,8
breakdancer,A_J,22732,TN,21953471,100,16,8
breakdancer,A_J,18876,TN,21982402,100,16,8
breakdancer,A_J,18009,TN,22159247,100,16,8
breakdancer,A_J,70732,TN,22651681,100,16,8
breakdancer,A_J,39252,TN,23753995,100,16,8
breakdancer,A_J,135650,TN,24147590,100,16,8
breakdancer,A_J,3491,TN,24283644,100,16,8
breakdancer,A_J,8726,TN,24287492,100,16,8
breakdancer,A_J,8597,TN,24300091,100,16,8
breakdancer,A_J,22934,TN,24470922,100,16,8
breakdancer,A_J,51203,TN,25210852,100,16,8
breakdancer,A_J,296463,TN,25372213,100,16,8
breakdancer,A_J,359378,TN,27133477,100,16,8
breakdancer,A_J,205096,TN,27497767,100,16,8
breakdancer,A_J,391336,TN,27758164,100,16,8
breakdancer,A_J,52006,TN,28156133,100,16,8
breakdancer,A_J,237114,TN,28242430,100,16,8
breakdancer,A_J,105338,TN,32879443,100,16,8
breakdancer,A_J,155569,TN,34223998,100,16,8
breakdancer,A_J,94233,TN,34982160,100,16,8
breakdancer,A_J,39124,TN,36763850,100,16,8
breakdancer,A_J,254897,TN,36803144,100,16,8
breakdancer,A_J,22181,TN,37595291,100,16,8
breakdancer,A_J,174251,TN,37624486,100,16,8
breakdancer,A_J,1247,TN,38019357,100,16,8
breakdancer,A_J,4045,TN,39388319,100,16,8
breakdancer,A_J,907,TN,39516782,100,16,8
breakdancer,A_J,12969,TN,39524260,100,16,8
breakdancer,A_J,270537,TN,40237918,100,16,8
breakdancer,A_J,298460,TN,40624606,100,16,8
breakdancer,A_J,6462,TN,40923241,100,16,8
breakdancer,A_J,21901,TN,42441535,100,16,8
breakdancer,A_J,155977,TN,42783482,100,16,8
breakdancer,A_J,58620,TN,42939824,100,16,8
breakdancer,A_J,13978,TN,43005060,100,16,8
breakdancer,A_J,26988,TN,43020055,100,16,8
breakdancer,A_J,63397,TN,43081573,100,16,8
breakdancer,A_J,13014,TN,44613069,100,16,8
breakdancer,A_J,463377,TN,44626721,100,16,8
breakdancer,A_J,207181,TN,45810859,100,16,8
breakdancer,A_J,38219,TN,46567071,100,16,8
breakdancer,A_J,45792,TN,46605655,100,16,8
breakdancer,A_J,33562,TN,46719115,100,16,8
breakdancer,A_J,1709,TN,47156559,100,16,8
breakdancer,A_J,4276,TN,47158953,100,16,8
breakdancer,A_J,293775,TN,47196448,100,16,8
breakdancer,A_J,254359,TN,47695215,100,16,8
breakdancer,A_J,23413,TN,47950026,100,16,8
breakdancer,A_J,40469,TN,50557878,100,16,8
breakdancer,A_J,25342,TN,50601957,100,16,8
breakdancer,A_J,39595,TN,50756164,100,16,8
breakdancer,A_J,32781,TN,50796155,100,16,8
breakdancer,A_J,15279,TN,50892406,100,16,8
breakdancer,A_J,177272,TN,50908613,100,16,8
breakdancer,A_J,16187,TN,51092363,100,16,8
breakdancer,A_J,1188072,TN,51115153,100,16,8
breakdancer,A_J,414937,TN,52309657,100,16,8
breakdancer,A_J,14280,TN,52971307,100,16,8
breakdancer,A_J,8021,TN,59213903,100,16,8
breakdancer,A_J,97539,TN,59224784,100,16,8
breakdancer,A_J,51673,TN,59610511,100,16,8
breakdancer,A_J,46785,TN,59767300,100,16,8
breakdancer,A_J,45356,TN,59826681,100,16,8
breakdancer,A_J,9987,TN,59874885,100,16,8
breakdancer,A_J,18904,TN,59999847,100,16,8
breakdancer,A_J,31285,TN,60024946,100,16,8
breakdancer,A_J,18098,TN,60291232,100,16,8
breakdancer,A_J,37984,TN,60309623,100,16,8
breakdancer,A_J,13597,TN,60627646,100,16,8
breakdancer,A_J,1453,TN,60642339,100,16,8
breakdancer,A_J,3096,TN,60654022,100,16,8
breakdancer,A_J,42343,TN,4346053,100,16,9
breakdancer,A_J,29155,TN,5406823,100,16,9
breakdancer,A_J,47703,TN,10110572,100,16,9
breakdancer,A_J,102496,TN,10568417,100,16,9
breakdancer,A_J,5227,TN,10802453,100,16,9
breakdancer,A_J,146486,TN,10808053,100,16,9
breakdancer,A_J,7486,TN,11152203,100,16,9
breakdancer,A_J,57187,TN,11159872,100,16,9
breakdancer,A_J,15395,TN,11577674,100,16,9
breakdancer,A_J,32080,TN,11906500,100,16,9
breakdancer,A_J,311908,TN,15527513,100,16,9
breakdancer,A_J,151320,TN,18699570,100,16,9
breakdancer,A_J,91796,TN,19322750,100,16,9
breakdancer,A_J,347311,TN,19416203,100,16,9
breakdancer,A_J,77856,TN,19985551,100,16,9
breakdancer,A_J,11174,TN,20755380,100,16,9
breakdancer,A_J,16933,TN,21515576,100,16,9
breakdancer,A_J,992,TN,21949344,100,16,9
breakdancer,A_J,22734,TN,21953471,100,16,9
breakdancer,A_J,17993,TN,22159287,100,16,9
breakdancer,A_J,70746,TN,22651681,100,16,9
breakdancer,A_J,3487,TN,24283644,100,16,9
breakdancer,A_J,8735,TN,24287490,100,16,9
breakdancer,A_J,8664,TN,24300027,100,16,9
breakdancer,A_J,2357,TN,25262393,100,16,9
breakdancer,A_J,296463,TN,25372213,100,16,9
breakdancer,A_J,417635,TN,26713807,100,16,9
breakdancer,A_J,359391,TN,27133477,100,16,9
breakdancer,A_J,205082,TN,27497767,100,16,9
breakdancer,A_J,52006,TN,28156133,100,16,9
breakdancer,A_J,237114,TN,28242430,100,16,9
breakdancer,A_J,105339,TN,32879443,100,16,9
breakdancer,A_J,155593,TN,34223998,100,16,9
breakdancer,A_J,174283,TN,37624486,100,16,9
breakdancer,A_J,1246,TN,38019353,100,16,9
breakdancer,A_J,134843,TN,38080308,100,16,9
breakdancer,A_J,4086,TN,39388319,100,16,9
breakdancer,A_J,915,TN,39516782,100,16,9
breakdancer,A_J,12972,TN,39524260,100,16,9
breakdancer,A_J,62102,TN,39537820,100,16,9
breakdancer,A_J,270530,TN,40237918,100,16,9
breakdancer,A_J,35472,TN,41489792,100,16,9
breakdancer,A_J,122918,TN,41936628,100,16,9
breakdancer,A_J,21922,TN,42441544,100,16,9
breakdancer,A_J,58616,TN,42939824,100,16,9
breakdancer,A_J,13987,TN,43005059,100,16,9
breakdancer,A_J,26994,TN,43020055,100,16,9
breakdancer,A_J,13014,TN,44613069,100,16,9
breakdancer,A_J,207005,TN,45810882,100,16,9
breakdancer,A_J,33553,TN,46719118,100,16,9
breakdancer,A_J,1709,TN,47156559,100,16,9
breakdancer,A_J,4287,TN,47158953,100,16,9
breakdancer,A_J,254367,TN,47695215,100,16,9
breakdancer,A_J,23428,TN,47950026,100,16,9
breakdancer,A_J,40480,TN,50557878,100,16,9
breakdancer,A_J,25342,TN,50601957,100,16,9
breakdancer,A_J,39626,TN,50756164,100,16,9
breakdancer,A_J,15305,TN,50892394,100,16,9
breakdancer,A_J,177300,TN,50908612,100,16,9
breakdancer,A_J,16177,TN,51092363,100,16,9
breakdancer,A_J,1188065,TN,51115153,100,16,9
breakdancer,A_J,414948,TN,52309657,100,16,9
breakdancer,A_J,14259,TN,52971307,100,16,9
breakdancer,A_J,33108,TN,57741235,100,16,9
breakdancer,A_J,52506,TN,57774642,100,16,9
breakdancer,A_J,8014,TN,59213903,100,16,9
breakdancer,A_J,97535,TN,59224784,100,16,9
breakdancer,A_J,51686,TN,59610511,100,16,9
breakdancer,A_J,46778,TN,59767300,100,16,9
breakdancer,A_J,4842,TN,59820224,100,16,9
breakdancer,A_J,45359,TN,59826681,100,16,9
breakdancer,A_J,18884,TN,59999847,100,16,9
breakdancer,A_J,31292,TN,60024946,100,16,9
breakdancer,A_J,37981,TN,60309623,100,16,9
breakdancer,A_J,12842,TN,60572947,100,16,9
breakdancer,A_J,13524,TN,60627693,100,16,9
breakdancer,A_J,1455,TN,60642339,100,16,9
breakdancer,A_J,3055,TN,60654080,100,16,9
breakdancer,A_J,58620,TN,42939824,10,16,1
breakdancer,A_J,177300,TN,50908612,10,16,1
breakdancer,A_J,4086,TN,39388319,10,16,3
breakdancer,A_J,12937,TN,39524260,10,16,3
breakdancer,A_J,270518,TN,40237918,10,16,3
breakdancer,A_J,58622,TN,42939824,10,16,3
breakdancer,A_J,15304,TN,50892394,10,16,3
breakdancer,A_J,98878,TN,59322803,10,16,3
breakdancer,A_J,1418,TN,60642338,10,16,3
breakdancer,A_J,311878,TN,15527513,10,16,4
breakdancer,A_J,157964,TN,25670089,10,16,4
breakdancer,A_J,4086,TN,39388319,10,16,4
breakdancer,A_J,58626,TN,42939824,10,16,4
breakdancer,A_J,15304,TN,50892394,10,16,4
breakdancer,A_J,177295,TN,50908617,10,16,4
breakdancer,A_J,18016,TN,22159246,10,16,5
breakdancer,A_J,70712,TN,22651681,10,16,5
breakdancer,A_J,157951,TN,25670089,10,16,5
breakdancer,A_J,899,TN,39516790,10,16,5
breakdancer,A_J,311673,TN,15527713,10000,2,1
breakdancer,A_J,68429,TN,15846589,10000,2,1
breakdancer,A_J,77773,TN,19985619,10000,2,1
breakdancer,A_J,76080,TN,20063792,10000,2,1
breakdancer,A_J,176967,TN,25033597,10000,2,1
breakdancer,A_J,50780,TN,25211004,10000,2,1
breakdancer,A_J,237001,TN,28242449,10000,2,1
breakdancer,A_J,155379,TN,34223999,10000,2,1
breakdancer,A_J,-374,TN,40208191,10000,2,1
breakdancer,A_J,298255,TN,40624607,10000,2,1
breakdancer,A_J,254109,TN,47695432,10000,2,1
breakdancer,A_J,7969,TN,59213903,10000,2,1
breakdancer,A_J,51606,TN,59820381,10000,2,1
breakdancer,A_J,37895,TN,60309623,10000,2,1
breakdancer,A_J,1307,TN,60642456,10000,2,1
breakdancer,A_J,352515,TN,11224218,1000,2,2
breakdancer,A_J,15257,TN,11577744,1000,2,2
breakdancer,A_J,11064,TN,20755425,1000,2,2
breakdancer,A_J,236925,TN,28242467,1000,2,2
breakdancer,A_J,155566,TN,34223998,1000,2,2
breakdancer,A_J,4213,TN,47158958,1000,2,2
breakdancer,A_J,32739,TN,50796186,1000,2,2
breakdancer,A_J,15024,TN,50892532,1000,2,2
breakdancer,A_J,18829,TN,59999847,1000,2,2
breakdancer,A_J,1424,TN,60642339,1000,2,2
breakdancer,A_J,151172,TN,18699570,1000,2,3
breakdancer,A_J,22671,TN,21953497,1000,2,3
breakdancer,A_J,17948,TN,22159281,1000,2,3
breakdancer,A_J,8718,TN,24287492,1000,2,3
breakdancer,A_J,359349,TN,27133477,1000,2,3
breakdancer,A_J,22150,TN,37595291,1000,2,3
breakdancer,A_J,46881,TN,44171661,1000,2,3
breakdancer,A_J,25122,TN,50602151,1000,2,3
breakdancer,A_J,15290,TN,50892395,1000,2,3
breakdancer,A_J,14023,TN,52971365,1000,2,3
breakdancer,A_J,97341,TN,59224836,1000,2,3
breakdancer,A_J,51653,TN,59610547,1000,2,3
breakdancer,A_J,18847,TN,59999847,1000,2,3
breakdancer,A_J,2832318,TN,6056929,1000,2,5
breakdancer,A_J,311767,TN,15527513,1000,2,5
breakdancer,A_J,22649,TN,21953471,1000,2,5
breakdancer,A_J,13949,TN,43005097,1000,2,5
breakdancer,A_J,254316,TN,47695215,1000,2,5
breakdancer,A_J,40469,TN,50557878,1000,2,5
breakdancer,A_J,25044,TN,50601957,1000,2,5
breakdancer,A_J,414879,TN,52309743,1000,2,5
breakdancer,A_J,14157,TN,52971307,1000,2,5
breakdancer,A_J,97215,TN,59224990,1000,2,5
breakdancer,A_J,18812,TN,59999908,1000,2,5
breakdancer,A_J,87106,TN,61026876,1000,2,5
breakdancer,A_J,146358,TN,10808053,1000,2,7
breakdancer,A_J,352678,TN,11224045,1000,2,7
breakdancer,A_J,15106,TN,11577829,1000,2,7
breakdancer,A_J,311847,TN,15527513,1000,2,7
breakdancer,A_J,11033,TN,20755397,1000,2,7
