<<<<<<< HEAD
,flag,length,position,strain,threshold,tool
41,TN,254254,21881840,LP_J,100,sniffles
42,TN,254254,21881840,LP_J,100,sniffles
43,TN,254254,21881840,LP_J,100,sniffles
44,TN,254254,21881840,LP_J,100,sniffles
45,TN,199843,22136596,LP_J,100,sniffles
46,TN,199843,22136596,LP_J,100,sniffles
47,TN,21785,22409688,LP_J,100,sniffles
48,TN,28641,22431541,LP_J,100,sniffles
49,TN,183811,22460433,LP_J,100,sniffles
50,TN,183811,22460433,LP_J,100,sniffles
51,TN,261746,22797608,LP_J,100,sniffles
52,TN,149268,23059703,LP_J,100,sniffles
53,TN,2169742,23218404,LP_J,100,sniffles
54,TN,2169742,23218404,LP_J,100,sniffles
55,TN,2169742,23218404,LP_J,100,sniffles
56,TN,2169742,23218404,LP_J,100,sniffles
57,TN,2169742,23218404,LP_J,100,sniffles
58,TN,2169742,23218404,LP_J,100,sniffles
59,TN,257394,25674590,LP_J,100,sniffles
60,TN,257394,25674590,LP_J,100,sniffles
61,TN,257394,25674590,LP_J,100,sniffles
62,TN,257394,25674590,LP_J,100,sniffles
63,TN,257394,25674590,LP_J,100,sniffles
64,TN,337217,25932693,LP_J,100,sniffles
65,TN,19855,26270409,LP_J,100,sniffles
66,TN,1202196,26290641,LP_J,100,sniffles
67,TN,1202196,26290641,LP_J,100,sniffles
68,TN,1202196,26290641,LP_J,100,sniffles
69,TN,253612,27497767,LP_J,100,sniffles
70,TN,153360,28685415,LP_J,100,sniffles
71,TN,40409,28848778,LP_J,100,sniffles
72,TN,783667,29442404,LP_J,100,sniffles
73,TN,783667,29442404,LP_J,100,sniffles
74,TN,783667,29442404,LP_J,100,sniffles
75,TN,371129,30226321,LP_J,100,sniffles
76,TN,30826,30597646,LP_J,100,sniffles
77,TN,24733,30630098,LP_J,100,sniffles
78,TN,301390,30662256,LP_J,100,sniffles
79,TN,301390,30662256,LP_J,100,sniffles
80,TN,301390,30662256,LP_J,100,sniffles
81,TN,461497,30967825,LP_J,100,sniffles
82,TN,461497,30967825,LP_J,100,sniffles
83,TN,104373,31429786,LP_J,100,sniffles
84,TN,100785,31836364,LP_J,100,sniffles
85,TN,100785,31836364,LP_J,100,sniffles
86,TN,100785,31836364,LP_J,100,sniffles
87,TN,100785,31836364,LP_J,100,sniffles
88,TN,53620,31943809,LP_J,100,sniffles
89,TN,205225,31997953,LP_J,100,sniffles
90,TN,205225,31997953,LP_J,100,sniffles
91,TN,167267,32209571,LP_J,100,sniffles
92,TN,64824,32377039,LP_J,100,sniffles
93,TN,4313598,32448960,LP_J,100,sniffles
94,TN,4313598,32448960,LP_J,100,sniffles
95,TN,4313598,32448960,LP_J,100,sniffles
96,TN,678028,36803144,LP_J,100,sniffles
97,TN,678028,36803144,LP_J,100,sniffles
98,TN,136094,37481342,LP_J,100,sniffles
99,TN,136094,37481342,LP_J,100,sniffles
100,TN,454480,37624486,LP_J,100,sniffles
101,TN,454480,37624486,LP_J,100,sniffles
102,TN,454480,37624486,LP_J,100,sniffles
103,TN,454480,37624486,LP_J,100,sniffles
104,TN,454480,37624486,LP_J,100,sniffles
105,TN,454480,37624486,LP_J,100,sniffles
106,TN,454480,37624486,LP_J,100,sniffles
107,TN,454480,37624486,LP_J,100,sniffles
108,TN,454480,37624486,LP_J,100,sniffles
109,TN,454480,37624486,LP_J,100,sniffles
110,TN,294713,38080308,LP_J,100,sniffles
111,TN,294713,38080308,LP_J,100,sniffles
112,TN,42842,38382084,LP_J,100,sniffles
113,TN,523436,38428812,LP_J,100,sniffles
114,TN,523436,38428812,LP_J,100,sniffles
115,TN,523436,38428812,LP_J,100,sniffles
116,TN,523436,38428812,LP_J,100,sniffles
117,TN,35989,38952334,LP_J,100,sniffles
118,TN,423913,38988530,LP_J,100,sniffles
119,TN,423913,38988530,LP_J,100,sniffles
120,TN,423913,38988530,LP_J,100,sniffles
121,TN,423913,38988530,LP_J,100,sniffles
122,TN,423913,38988530,LP_J,100,sniffles
123,TN,423913,38988530,LP_J,100,sniffles
124,TN,423913,38988530,LP_J,100,sniffles
125,TN,423913,38988530,LP_J,100,sniffles
126,TN,423913,38988530,LP_J,100,sniffles
127,TN,423913,38988530,LP_J,100,sniffles
128,TN,53217,39419823,LP_J,100,sniffles
129,TN,478208,39473081,LP_J,100,sniffles
130,TN,478208,39473081,LP_J,100,sniffles
131,TN,478208,39473081,LP_J,100,sniffles
132,TN,478208,39473081,LP_J,100,sniffles
133,TN,478208,39473081,LP_J,100,sniffles
134,TN,478208,39473081,LP_J,100,sniffles
135,TN,478208,39473081,LP_J,100,sniffles
136,TN,478208,39473081,LP_J,100,sniffles
137,TN,478208,39473081,LP_J,100,sniffles
138,TN,971688,39951340,LP_J,100,sniffles
139,TN,971688,39951340,LP_J,100,sniffles
140,TN,971688,39951340,LP_J,100,sniffles
141,TN,971688,39951340,LP_J,100,sniffles
142,TN,971688,39951340,LP_J,100,sniffles
143,TN,971688,39951340,LP_J,100,sniffles
144,TN,971688,39951340,LP_J,100,sniffles
145,TN,971688,39951340,LP_J,100,sniffles
146,TN,971688,39951340,LP_J,100,sniffles
147,TN,971688,39951340,LP_J,100,sniffles
148,TN,971688,39951340,LP_J,100,sniffles
149,TN,971688,39951340,LP_J,100,sniffles
150,TN,971688,39951340,LP_J,100,sniffles
151,TN,971688,39951340,LP_J,100,sniffles
152,TN,971688,39951340,LP_J,100,sniffles
153,TN,971688,39951340,LP_J,100,sniffles
154,TN,11645,40923240,LP_J,100,sniffles
155,TN,52304,41472962,LP_J,100,sniffles
156,TN,409466,41526971,LP_J,100,sniffles
157,TN,409466,41526971,LP_J,100,sniffles
158,TN,409466,41526971,LP_J,100,sniffles
159,TN,409466,41526971,LP_J,100,sniffles
160,TN,175825,41936627,LP_J,100,sniffles
161,TN,175825,41936627,LP_J,100,sniffles
162,TN,175825,41936627,LP_J,100,sniffles
163,TN,175825,41936627,LP_J,100,sniffles
164,TN,175825,41936627,LP_J,100,sniffles
165,TN,350901,42112522,LP_J,100,sniffles
166,TN,350901,42112522,LP_J,100,sniffles
167,TN,350901,42112522,LP_J,100,sniffles
168,TN,309128,42463708,LP_J,100,sniffles
169,TN,309128,42463708,LP_J,100,sniffles
170,TN,309128,42463708,LP_J,100,sniffles
171,TN,309128,42463708,LP_J,100,sniffles
172,TN,121915,42817521,LP_J,100,sniffles
173,TN,58593,42939824,LP_J,100,sniffles
174,TN,139947,43005060,LP_J,100,sniffles
175,TN,139947,43005060,LP_J,100,sniffles
176,TN,139947,43005060,LP_J,100,sniffles
177,TN,139947,43005060,LP_J,100,sniffles
178,TN,93902,43145197,LP_J,100,sniffles
179,TN,296818,43239889,LP_J,100,sniffles
180,TN,296818,43239889,LP_J,100,sniffles
181,TN,40935,43537389,LP_J,100,sniffles
182,TN,150520,43578519,LP_J,100,sniffles
183,TN,150520,43578519,LP_J,100,sniffles
184,TN,150520,43578519,LP_J,100,sniffles
185,TN,236296,43865019,LP_J,100,sniffles
186,TN,77377,44141129,LP_J,100,sniffles
187,TN,77377,44141129,LP_J,100,sniffles
188,TN,932739,44224942,LP_J,100,sniffles
189,TN,932739,44224942,LP_J,100,sniffles
190,TN,932739,44224942,LP_J,100,sniffles
191,TN,932739,44224942,LP_J,100,sniffles
192,TN,932739,44224942,LP_J,100,sniffles
193,TN,130504,45157726,LP_J,100,sniffles
194,TN,130504,45157726,LP_J,100,sniffles
195,TN,130504,45157726,LP_J,100,sniffles
196,TN,130504,45157726,LP_J,100,sniffles
197,TN,130504,45157726,LP_J,100,sniffles
198,TN,130504,45157726,LP_J,100,sniffles
199,TN,464488,45288419,LP_J,100,sniffles
200,TN,464488,45288419,LP_J,100,sniffles
201,TN,464488,45288419,LP_J,100,sniffles
202,TN,464488,45288419,LP_J,100,sniffles
203,TN,464488,45288419,LP_J,100,sniffles
204,TN,70581,45759299,LP_J,100,sniffles
205,TN,155768,45830072,LP_J,100,sniffles
206,TN,241066,45986024,LP_J,100,sniffles
207,TN,241066,45986024,LP_J,100,sniffles
208,TN,241066,45986024,LP_J,100,sniffles
209,TN,241066,45986024,LP_J,100,sniffles
210,TN,128864,46227274,LP_J,100,sniffles
211,TN,189275,46356174,LP_J,100,sniffles
212,TN,189275,46356174,LP_J,100,sniffles
213,TN,105809,46545654,LP_J,100,sniffles
214,TN,105809,46545654,LP_J,100,sniffles
215,TN,105809,46545654,LP_J,100,sniffles
216,TN,105809,46545654,LP_J,100,sniffles
217,TN,303807,46651658,LP_J,100,sniffles
218,TN,303807,46651658,LP_J,100,sniffles
219,TN,303807,46651658,LP_J,100,sniffles
220,TN,77399,47117182,LP_J,100,sniffles
221,TN,77399,47117182,LP_J,100,sniffles
222,TN,77399,47117182,LP_J,100,sniffles
223,TN,645436,47460199,LP_J,100,sniffles
224,TN,645436,47460199,LP_J,100,sniffles
225,TN,645436,47460199,LP_J,100,sniffles
226,TN,645436,47460199,LP_J,100,sniffles
227,TN,645436,47460199,LP_J,100,sniffles
228,TN,645436,47460199,LP_J,100,sniffles
229,TN,645436,47460199,LP_J,100,sniffles
230,TN,645436,47460199,LP_J,100,sniffles
231,TN,645436,47460199,LP_J,100,sniffles
232,TN,1764846,48106029,LP_J,100,sniffles
233,TN,1764846,48106029,LP_J,100,sniffles
234,TN,1764846,48106029,LP_J,100,sniffles
235,TN,1764846,48106029,LP_J,100,sniffles
236,TN,1764846,48106029,LP_J,100,sniffles
237,TN,1764846,48106029,LP_J,100,sniffles
238,TN,1764846,48106029,LP_J,100,sniffles
239,TN,1764846,48106029,LP_J,100,sniffles
240,TN,1764846,48106029,LP_J,100,sniffles
241,TN,197375,49871099,LP_J,100,sniffles
242,TN,248370,50177900,LP_J,100,sniffles
243,TN,248370,50177900,LP_J,100,sniffles
244,TN,248370,50177900,LP_J,100,sniffles
245,TN,117965,50433119,LP_J,100,sniffles
246,TN,40453,50557877,LP_J,100,sniffles
247,TN,139006,50601957,LP_J,100,sniffles
248,TN,139006,50601957,LP_J,100,sniffles
249,TN,139006,50601957,LP_J,100,sniffles
250,TN,11413,50742768,LP_J,100,sniffles
251,TN,72735,50756163,LP_J,100,sniffles
252,TN,72735,50756163,LP_J,100,sniffles
253,TN,28395,50835067,LP_J,100,sniffles
254,TN,28395,50835067,LP_J,100,sniffles
255,TN,28395,50835067,LP_J,100,sniffles
256,TN,25325,50865987,LP_J,100,sniffles
257,TN,25325,50865987,LP_J,100,sniffles
258,TN,748248,51200887,LP_J,100,sniffles
259,TN,748248,51200887,LP_J,100,sniffles
260,TN,748248,51200887,LP_J,100,sniffles
261,TN,748248,51200887,LP_J,100,sniffles
262,TN,748248,51200887,LP_J,100,sniffles
263,TN,768839,51955742,LP_J,100,sniffles
264,TN,768839,51955742,LP_J,100,sniffles
265,TN,768839,51955742,LP_J,100,sniffles
266,TN,768839,51955742,LP_J,100,sniffles
267,TN,768839,51955742,LP_J,100,sniffles
268,TN,768839,51955742,LP_J,100,sniffles
269,TN,768839,51955742,LP_J,100,sniffles
270,TN,242142,52725794,LP_J,100,sniffles
271,TN,242142,52725794,LP_J,100,sniffles
272,TN,242142,52725794,LP_J,100,sniffles
273,TN,242142,52725794,LP_J,100,sniffles
274,TN,14243,52971307,LP_J,100,sniffles
275,TN,891872,52990947,LP_J,100,sniffles
276,TN,891872,52990947,LP_J,100,sniffles
277,TN,1111988,53882979,LP_J,100,sniffles
278,TN,40926,55001538,LP_J,100,sniffles
279,TN,191866,55042599,LP_J,100,sniffles
280,TN,191866,55042599,LP_J,100,sniffles
281,TN,284119,55234670,LP_J,100,sniffles
282,TN,284119,55234670,LP_J,100,sniffles
283,TN,284119,55234670,LP_J,100,sniffles
284,TN,284119,55234670,LP_J,100,sniffles
285,TN,284119,55234670,LP_J,100,sniffles
286,TN,611041,55694137,LP_J,100,sniffles
287,TN,820886,56305210,LP_J,100,sniffles
288,TN,820886,56305210,LP_J,100,sniffles
289,TN,820886,56305210,LP_J,100,sniffles
290,TN,87856,57126165,LP_J,100,sniffles
291,TN,72728,57331350,LP_J,100,sniffles
292,TN,72728,57331350,LP_J,100,sniffles
293,TN,72728,57331350,LP_J,100,sniffles
294,TN,72728,57331350,LP_J,100,sniffles
295,TN,74185,57404273,LP_J,100,sniffles
296,TN,74185,57404273,LP_J,100,sniffles
297,TN,74185,57404273,LP_J,100,sniffles
298,TN,74185,57404273,LP_J,100,sniffles
299,TN,74185,57404273,LP_J,100,sniffles
300,TN,308492,57478543,LP_J,100,sniffles
301,TN,308492,57478543,LP_J,100,sniffles
302,TN,308492,57478543,LP_J,100,sniffles
303,TN,308492,57478543,LP_J,100,sniffles
304,TN,180087,57832505,LP_J,100,sniffles
305,TN,180087,57832505,LP_J,100,sniffles
306,TN,180087,57832505,LP_J,100,sniffles
307,TN,968441,58014478,LP_J,100,sniffles
308,TN,968441,58014478,LP_J,100,sniffles
309,TN,968441,58014478,LP_J,100,sniffles
310,TN,968441,58014478,LP_J,100,sniffles
311,TN,968441,58014478,LP_J,100,sniffles
312,TN,238912,58982971,LP_J,100,sniffles
313,TN,245958,59224784,LP_J,100,sniffles
314,TN,60488,59470777,LP_J,100,sniffles
315,TN,60488,59470777,LP_J,100,sniffles
316,TN,130613,59531547,LP_J,100,sniffles
317,TN,130613,59531547,LP_J,100,sniffles
318,TN,130613,59531547,LP_J,100,sniffles
319,TN,149021,59665031,LP_J,100,sniffles
320,TN,149021,59665031,LP_J,100,sniffles
321,TN,149021,59665031,LP_J,100,sniffles
322,TN,51796,59820223,LP_J,100,sniffles
323,TN,51796,59820223,LP_J,100,sniffles
324,TN,102685,59874885,LP_J,100,sniffles
325,TN,102685,59874885,LP_J,100,sniffles
326,TN,102685,59874885,LP_J,100,sniffles
327,TN,102685,59874885,LP_J,100,sniffles
328,TN,18868,59999847,LP_J,100,sniffles
329,TN,284345,60024946,LP_J,100,sniffles
330,TN,284345,60024946,LP_J,100,sniffles
331,TN,284345,60024946,LP_J,100,sniffles
332,TN,284345,60024946,LP_J,100,sniffles
333,TN,284345,60024946,LP_J,100,sniffles
334,TN,284345,60024946,LP_J,100,sniffles
335,TN,284345,60024946,LP_J,100,sniffles
336,TN,174302,60354786,LP_J,100,sniffles
337,TN,174302,60354786,LP_J,100,sniffles
338,TN,174302,60354786,LP_J,100,sniffles
339,TN,174302,60354786,LP_J,100,sniffles
340,TN,174302,60354786,LP_J,100,sniffles
341,TN,174302,60354786,LP_J,100,sniffles
342,TN,12925,60572946,LP_J,100,sniffles
343,TN,41369,60586059,LP_J,100,sniffles
344,TN,41369,60586059,LP_J,100,sniffles
345,TN,16169,60627594,LP_J,100,sniffles
346,TN,16169,60627594,LP_J,100,sniffles
347,TN,40532,60650224,LP_J,100,sniffles
348,TN,40532,60650224,LP_J,100,sniffles
349,TN,40532,60650224,LP_J,100,sniffles
350,TN,110680,60690839,LP_J,100,sniffles
351,TN,110680,60690839,LP_J,100,sniffles
352,TN,110680,60690839,LP_J,100,sniffles
353,TN,110680,60690839,LP_J,100,sniffles
354,TN,32698,60801685,LP_J,100,sniffles
355,TN,32698,60801685,LP_J,100,sniffles
356,TN,32698,60801685,LP_J,100,sniffles
357,TN,32698,60801685,LP_J,100,sniffles
358,TN,49251,60834538,LP_J,100,sniffles
359,TN,49251,60834538,LP_J,100,sniffles
360,TN,87424,60934033,LP_J,100,sniffles
361,TN,88435,61025770,LP_J,100,sniffles
362,TN,88435,61025770,LP_J,100,sniffles
363,TN,22546,61132293,LP_J,100,sniffles
364,TN,276690,61154876,LP_J,100,sniffles
365,TN,276690,61154876,LP_J,100,sniffles
366,TN,6055201,0,LP_J,100,smoove
367,TN,7962523,8890408,LP_J,100,smoove
368,TN,164700,16853146,LP_J,100,smoove
369,TN,52201,17020486,LP_J,100,smoove
370,TN,2274,17072764,LP_J,100,smoove
371,TN,748,17075574,LP_J,100,smoove
372,TN,21981,17076542,LP_J,100,smoove
373,TN,27973,17145758,LP_J,100,smoove
374,TN,14900,17231980,LP_J,100,smoove
375,TN,11036,17247084,LP_J,100,smoove
376,TN,2719,17258307,LP_J,100,smoove
377,TN,5364,17281610,LP_J,100,smoove
378,TN,15093,17287077,LP_J,100,smoove
379,TN,215639,17303230,LP_J,100,smoove
380,TN,43959,18100595,LP_J,100,smoove
381,TN,50449,18144663,LP_J,100,smoove
382,TN,146917,18249735,LP_J,100,smoove
383,TN,21022,18899131,LP_J,100,smoove
384,TN,2165,18924302,LP_J,100,smoove
385,TN,868784,18926807,LP_J,100,smoove
386,TN,74443,19795984,LP_J,100,smoove
387,TN,74443,19795984,LP_J,100,smoove
388,TN,178484,19916813,LP_J,100,smoove
389,TN,44094,20095734,LP_J,100,smoove
390,TN,143879,20144372,LP_J,100,smoove
391,TN,1158418,20290138,LP_J,100,smoove
392,TN,1158418,20290138,LP_J,100,smoove
393,TN,1158418,20290138,LP_J,100,smoove
394,TN,1158418,20290138,LP_J,100,smoove
395,TN,24683,21449705,LP_J,100,smoove
396,TN,25933,21474494,LP_J,100,smoove
397,TN,14658,21500704,LP_J,100,smoove
398,TN,14658,21500704,LP_J,100,smoove
399,TN,16965,21515578,LP_J,100,smoove
400,TN,63907,21534426,LP_J,100,smoove
401,TN,10248,21603744,LP_J,100,smoove
402,TN,38051,21881839,LP_J,100,smoove
403,TN,38051,21881839,LP_J,100,smoove
404,TN,41684,21934504,LP_J,100,smoove
405,TN,41684,21934504,LP_J,100,smoove
406,TN,117388,22136596,LP_J,100,smoove
407,TN,21784,22409688,LP_J,100,smoove
408,TN,28641,22431541,LP_J,100,smoove
409,TN,183811,22460433,LP_J,100,smoove
410,TN,183811,22460433,LP_J,100,smoove
411,TN,70705,22651680,LP_J,100,smoove
412,TN,69224,22728236,LP_J,100,smoove
413,TN,261745,22797608,LP_J,100,smoove
414,TN,149267,23059703,LP_J,100,smoove
415,TN,35775,23510746,LP_J,100,smoove
416,TN,546396,23548418,LP_J,100,smoove
417,TN,546396,23548418,LP_J,100,smoove
418,TN,1579641,24094897,LP_J,100,smoove
419,TN,153477,25674589,LP_J,100,smoove
420,TN,153477,25674589,LP_J,100,smoove
421,TN,64518,25830310,LP_J,100,smoove
422,TN,15876,25895125,LP_J,100,smoove
423,TN,20793,25911190,LP_J,100,smoove
424,TN,304694,25932693,LP_J,100,smoove
425,TN,26100,26243810,LP_J,100,smoove
426,TN,19856,26270408,LP_J,100,smoove
427,TN,53252,26290640,LP_J,100,smoove
428,TN,48455,26344060,LP_J,100,smoove
429,TN,735678,26395734,LP_J,100,smoove
430,TN,359361,27133476,LP_J,100,smoove
431,TN,529118,28156132,LP_J,100,smoove
432,TN,13926,28685415,LP_J,100,smoove
433,TN,117781,28699535,LP_J,100,smoove
434,TN,30948,28817663,LP_J,100,smoove
435,TN,40408,28848778,LP_J,100,smoove
436,TN,40621,28889327,LP_J,100,smoove
437,TN,295356,28930288,LP_J,100,smoove
438,TN,322922,29660833,LP_J,100,smoove
439,TN,6660,29984048,LP_J,100,smoove
440,TN,228901,29997169,LP_J,100,smoove
441,TN,371129,30226321,LP_J,100,smoove
442,TN,30827,30597645,LP_J,100,smoove
443,TN,24733,30630097,LP_J,100,smoove
444,TN,189227,30662256,LP_J,100,smoove
445,TN,111716,30851929,LP_J,100,smoove
446,TN,111716,30851929,LP_J,100,smoove
447,TN,461496,30967825,LP_J,100,smoove
448,TN,461496,30967825,LP_J,100,smoove
449,TN,14614,31534313,LP_J,100,smoove
450,TN,1272,31836363,LP_J,100,smoove
451,TN,7249,31841942,LP_J,100,smoove
452,TN,87485,31849663,LP_J,100,smoove
453,TN,53619,31943809,LP_J,100,smoove
454,TN,35435,31997953,LP_J,100,smoove
455,TN,163428,32039749,LP_J,100,smoove
456,TN,167266,32209571,LP_J,100,smoove
457,TN,64824,32377039,LP_J,100,smoove
458,TN,8562,32448960,LP_J,100,smoove
459,TN,4304548,32458010,LP_J,100,smoove
460,TN,4304548,32458010,LP_J,100,smoove
461,TN,39097,36763849,LP_J,100,smoove
462,TN,254866,36803143,LP_J,100,smoove
463,TN,422766,37058405,LP_J,100,smoove
464,TN,422766,37058405,LP_J,100,smoove
465,TN,105360,37481342,LP_J,100,smoove
466,TN,22146,37595290,LP_J,100,smoove
467,TN,174268,37624485,LP_J,100,smoove
468,TN,44631,37799249,LP_J,100,smoove
469,TN,176106,37844450,LP_J,100,smoove
470,TN,176106,37844450,LP_J,100,smoove
471,TN,556,38021220,LP_J,100,smoove
472,TN,7063,38021990,LP_J,100,smoove
473,TN,48901,38030064,LP_J,100,smoove
474,TN,134895,38080308,LP_J,100,smoove
475,TN,159599,38215422,LP_J,100,smoove
476,TN,42842,38382083,LP_J,100,smoove
477,TN,403453,38425087,LP_J,100,smoove
478,TN,403453,38425087,LP_J,100,smoove
479,TN,403453,38425087,LP_J,100,smoove
480,TN,403453,38425087,LP_J,100,smoove
481,TN,123522,38828726,LP_J,100,smoove
482,TN,35989,38952333,LP_J,100,smoove
483,TN,2665,39142996,LP_J,100,smoove
484,TN,224802,39156339,LP_J,100,smoove
485,TN,4101,39388318,LP_J,100,smoove
486,TN,13784,39398658,LP_J,100,smoove
487,TN,771,39419823,LP_J,100,smoove
488,TN,89684,39426845,LP_J,100,smoove
489,TN,89684,39426845,LP_J,100,smoove
490,TN,89684,39426845,LP_J,100,smoove
491,TN,913,39516781,LP_J,100,smoove
492,TN,12930,39524259,LP_J,100,smoove
493,TN,62116,39537801,LP_J,100,smoove
494,TN,70955,39607094,LP_J,100,smoove
495,TN,262735,39684453,LP_J,100,smoove
496,TN,1877,40018475,LP_J,100,smoove
497,TN,5236,40096341,LP_J,100,smoove
498,TN,102119,40102200,LP_J,100,smoove
499,TN,31833,40205370,LP_J,100,smoove
500,TN,31833,40205370,LP_J,100,smoove
501,TN,31833,40205370,LP_J,100,smoove
502,TN,270541,40237916,LP_J,100,smoove
503,TN,60024,40561754,LP_J,100,smoove
504,TN,298421,40624606,LP_J,100,smoove
505,TN,6421,40923240,LP_J,100,smoove
506,TN,22680,41371040,LP_J,100,smoove
507,TN,35449,41489816,LP_J,100,smoove
508,TN,120978,41526971,LP_J,100,smoove
509,TN,281249,41648149,LP_J,100,smoove
510,TN,281249,41648149,LP_J,100,smoove
511,TN,6845,41929591,LP_J,100,smoove
512,TN,122920,41936627,LP_J,100,smoove
513,TN,25134,42059738,LP_J,100,smoove
514,TN,24478,42085131,LP_J,100,smoove
515,TN,24478,42085131,LP_J,100,smoove
516,TN,2645,42109798,LP_J,100,smoove
517,TN,2006,42112522,LP_J,100,smoove
518,TN,6363,42558883,LP_J,100,smoove
519,TN,6363,42558883,LP_J,100,smoove
520,TN,207372,42565463,LP_J,100,smoove
521,TN,110773,42828663,LP_J,100,smoove
522,TN,22608,42939823,LP_J,100,smoove
523,TN,519,42962483,LP_J,100,smoove
524,TN,34753,42963664,LP_J,100,smoove
525,TN,13940,43005059,LP_J,100,smoove
526,TN,26985,43020054,LP_J,100,smoove
527,TN,27800,43047509,LP_J,100,smoove
528,TN,63448,43081559,LP_J,100,smoove
529,TN,93902,43145196,LP_J,100,smoove
530,TN,112816,43239889,LP_J,100,smoove
531,TN,183186,43353520,LP_J,100,smoove
532,TN,183186,43353520,LP_J,100,smoove
533,TN,40934,43537389,LP_J,100,smoove
534,TN,55417,43578519,LP_J,100,smoove
535,TN,78999,43634125,LP_J,100,smoove
536,TN,151507,43713324,LP_J,100,smoove
537,TN,151507,43713324,LP_J,100,smoove
538,TN,86800,43865019,LP_J,100,smoove
539,TN,24135,44141129,LP_J,100,smoove
540,TN,120251,44224942,LP_J,100,smoove
541,TN,744441,44345647,LP_J,100,smoove
542,TN,744441,44345647,LP_J,100,smoove
543,TN,21588,45198040,LP_J,100,smoove
544,TN,21588,45198040,LP_J,100,smoove
545,TN,68412,45219818,LP_J,100,smoove
546,TN,410706,45288418,LP_J,100,smoove
547,TN,410706,45288418,LP_J,100,smoove
548,TN,410706,45288418,LP_J,100,smoove
549,TN,52855,45706227,LP_J,100,smoove
550,TN,52855,45706227,LP_J,100,smoove
551,TN,70580,45759299,LP_J,100,smoove
552,TN,84803,45830072,LP_J,100,smoove
553,TN,70773,45915066,LP_J,100,smoove
554,TN,62692,45986024,LP_J,100,smoove
555,TN,169209,46048892,LP_J,100,smoove
556,TN,169209,46048892,LP_J,100,smoove
557,TN,8777,46218312,LP_J,100,smoove
558,TN,132655,46227274,LP_J,100,smoove
559,TN,162775,46360127,LP_J,100,smoove
560,TN,22386,46523063,LP_J,100,smoove
561,TN,105809,46545653,LP_J,100,smoove
562,TN,105809,46545653,LP_J,100,smoove
563,TN,105809,46545653,LP_J,100,smoove
564,TN,105809,46545653,LP_J,100,smoove
565,TN,303806,46651658,LP_J,100,smoove
566,TN,303806,46651658,LP_J,100,smoove
567,TN,303806,46651658,LP_J,100,smoove
568,TN,200478,46955652,LP_J,100,smoove
569,TN,200478,46955652,LP_J,100,smoove
570,TN,1603,47156602,LP_J,100,smoove
571,TN,35629,47158952,LP_J,100,smoove
572,TN,497821,47196447,LP_J,100,smoove
573,TN,497821,47196447,LP_J,100,smoove
574,TN,254351,47695214,LP_J,100,smoove
575,TN,23440,47950025,LP_J,100,smoove
576,TN,29721,47982350,LP_J,100,smoove
577,TN,9722,48095912,LP_J,100,smoove
578,TN,23561,48106029,LP_J,100,smoove
579,TN,96116,48129699,LP_J,100,smoove
580,TN,201467,48232285,LP_J,100,smoove
581,TN,82744,48433975,LP_J,100,smoove
582,TN,82744,48433975,LP_J,100,smoove
583,TN,82744,48433975,LP_J,100,smoove
584,TN,20243,49871098,LP_J,100,smoove
585,TN,63186,50114435,LP_J,100,smoove
586,TN,16682,50177899,LP_J,100,smoove
587,TN,231400,50194870,LP_J,100,smoove
588,TN,231400,50194870,LP_J,100,smoove
