tool,threshold,strain,nTP,nFP,nTN,n_true,nFN,sensitivity,precision,specificity,f-score,len
lumpexpress,100,C3H_HeJ,17.0,38.0,0.0,43,26.0,0.3953488472093023,0.30909091903471075,1e-08,0.3469387906997085,50_100
mistrvar,100,C3H_HeJ,17.0,117.0,0.0,43,26.0,0.3953488472093023,0.12686568163232345,1e-08,0.19209041443423008,50_100
pindel,100,C3H_HeJ,25.0,10727.0,0.0,43,18.0,0.5813953588372094,0.0023251588095216467,1e-08,0.004631803731377803,50_100
smoove,100,C3H_HeJ,17.0,32.0,0.0,43,26.0,0.3953488472093023,0.3469387854394003,1e-08,0.3695652324149339,50_100
sniffles,100,C3H_HeJ,7.0,16.0,0.0,43,36.0,0.1627907076744186,0.3043478359546314,1e-08,0.21212122846648304,50_100
breakdancer,100,C3H_HeJ,0.0,0.0,0.0,43,43.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,C3H_HeJ,0.0,272.0,0.0,43,43.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,C3H_HeJ,0.0,0.0,0.0,43,43.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,CBA_J,24.0,152.0,0.0,51,27.0,0.4705882452941176,0.1363636463558884,1e-08,0.21145376403248636,50_100
delly,100,CBA_J,13.0,76.0,0.0,51,38.0,0.2549019707843137,0.14606742571392498,1e-08,0.18571430180612247,50_100
gridss,100,CBA_J,17.0,102.0,0.0,51,34.0,0.3333333433333333,0.14285715284513806,1e-08,0.2000000173882352,50_100
indelminer,100,CBA_J,6.0,48.0,0.0,51,45.0,0.1176470688235294,0.11111112109053498,1e-08,0.11428572928707505,50_100
lumpexpress,100,CBA_J,17.0,40.0,0.0,51,34.0,0.3333333433333333,0.29824562398276394,1e-08,0.3148148298319617,50_100
mistrvar,100,CBA_J,19.0,114.0,0.0,51,32.0,0.3725490296078432,0.1428571528464017,1e-08,0.20652175709829854,50_100
pindel,100,CBA_J,26.0,10137.0,0.0,51,25.0,0.5098039315686275,0.0025583097146486683,1e-08,0.0050910811998453424,50_100
smoove,100,CBA_J,18.0,35.0,0.0,51,33.0,0.35294118647058825,0.3396226514453542,1e-08,0.3461538611261095,50_100
sniffles,100,CBA_J,11.0,12.0,0.0,51,40.0,0.21568628450980395,0.4782608793572778,1e-08,0.2972973144046749,50_100
breakdancer,100,CBA_J,0.0,0.0,0.0,51,51.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,CBA_J,0.0,263.0,0.0,51,51.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,CBA_J,0.0,0.0,0.0,51,51.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,DBA_2J,31.0,136.0,0.0,54,23.0,0.5740740840740741,0.18562875250385452,1e-08,0.2805430053342477,50_100
delly,100,DBA_2J,14.0,87.0,0.0,54,40.0,0.25925926925925924,0.13861387137241446,1e-08,0.18064517765785645,50_100
gridss,100,DBA_2J,18.0,113.0,0.0,54,36.0,0.3333333433333333,0.13740459014218284,1e-08,0.19459461218261492,50_100
indelminer,100,DBA_2J,7.0,43.0,0.0,54,47.0,0.12962963962962962,0.140000009972,1e-08,0.13461539962463034,50_100
lumpexpress,100,DBA_2J,16.0,43.0,0.0,54,38.0,0.2962963062962963,0.2711864506320023,1e-08,0.28318585571227195,50_100
mistrvar,100,DBA_2J,27.0,119.0,0.0,54,27.0,0.50000001,0.18493151683664846,1e-08,0.2700000181604999,50_100
pindel,100,DBA_2J,33.0,9817.0,0.0,54,21.0,0.6111111211111112,0.003350263807103197,1e-08,0.0066640038264936035,50_100
smoove,100,DBA_2J,16.0,38.0,0.0,54,38.0,0.2962963062962963,0.2962963062414266,1e-08,0.2962963112688615,50_100
sniffles,100,DBA_2J,9.0,19.0,0.0,54,45.0,0.16666667666666665,0.3214285813137755,1e-08,0.21951221160321235,50_100
breakdancer,100,DBA_2J,0.0,0.0,0.0,54,54.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,DBA_2J,0.0,232.0,0.0,54,54.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,DBA_2J,0.0,0.0,0.0,54,54.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
clever,100,LP_J,24.0,112.0,0.0,46,22.0,0.5217391404347826,0.17647059822231834,1e-08,0.2637362823898079,50_100
delly,100,LP_J,15.0,55.0,0.0,46,31.0,0.32608696652173913,0.21428572425510206,1e-08,0.25862070527497033,50_100
gridss,100,LP_J,19.0,80.0,0.0,46,27.0,0.4130434882608696,0.19191920189980616,1e-08,0.2620689825032104,50_100
indelminer,100,LP_J,4.0,37.0,0.0,46,42.0,0.08695653173913043,0.09756098558596073,1e-08,0.09195403802748076,50_100
lumpexpress,100,LP_J,15.0,34.0,0.0,46,31.0,0.32608696652173913,0.3061224589171179,1e-08,0.315789488665928,50_100
mistrvar,100,LP_J,23.0,88.0,0.0,46,23.0,0.50000001,0.2072072171885399,1e-08,0.29299364812568457,50_100
pindel,100,LP_J,26.0,8472.0,0.0,46,20.0,0.5652174013043478,0.0030595534219780424,1e-08,0.006086172000795039,50_100
smoove,100,LP_J,16.0,33.0,0.0,46,30.0,0.3478260969565217,0.3265306221782591,1e-08,0.33684212024265936,50_100
sniffles,100,LP_J,7.0,12.0,0.0,46,39.0,0.15217392304347827,0.3684210624376731,1e-08,0.21538463293964488,50_100
breakdancer,100,LP_J,0.0,0.0,0.0,46,46.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
gasv,100,LP_J,0.0,231.0,0.0,46,46.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
BioGraph*,100,LP_J,0.0,0.0,0.0,46,46.0,1e-08,1e-08,1e-08,1.6666666666666667e-08,50_100
breakdancer,100,AKR_J,113.0,182.0,1e-05,234,121.0,0.4829059829059829,0.3830508474576271,5.494505192609605e-08,0.4272211720226843,100_500
clever,100,AKR_J,202.0,3771.0,1e-05,234,32.0,0.8632478632478633,0.050843191542914674,2.651816487266464e-09,0.0960304254813406,100_500
delly,100,AKR_J,154.0,46.0,1e-05,234,80.0,0.6581196581196581,0.77,2.1739125708885717e-07,0.7096774193548387,100_500
gasv,100,AKR_J,16.0,1673.0,1e-05,234,218.0,0.06837606837606837,0.009473060982830076,5.977286276286394e-09,0.016640665626625063,100_500
gridss,100,AKR_J,169.0,39.0,1.0,234,65.0,0.7222222222222222,0.8125,0.025,0.7647058823529411,100_500
indelminer,100,AKR_J,60.0,17.0,1.0,234,174.0,0.2564102564102564,0.7792207792207793,0.05555555555555555,0.3858520900321543,100_500
lumpexpress,100,AKR_J,148.0,17.0,1e-05,234,86.0,0.6324786324786325,0.8969696969696971,5.882349480970894e-07,0.7418546365914787,100_500
mistrvar,100,AKR_J,88.0,62.0,1e-05,234,146.0,0.3760683760683761,0.5866666666666667,1.612902965660812e-07,0.4583333333333333,100_500
pindel,100,AKR_J,152.0,170.0,2.0,234,82.0,0.6495726495726496,0.4720496894409938,0.011627906976744186,0.5467625899280576,100_500
smoove,100,AKR_J,153.0,18.0,1e-05,234,81.0,0.6538461538461539,0.8947368421052632,5.555552469137518e-07,0.7555555555555555,100_500
sniffles,100,AKR_J,45.0,6.0,1e-05,234,189.0,0.19230769230769232,0.8823529411764706,1.666663888893519e-06,0.31578947368421056,100_500
BioGraph*,100,AKR_J,131.0,41.0,1e-05,234,103.0,0.5598290598290598,0.7616279069767442,2.43902379536005e-07,0.645320197044335,100_500
breakdancer,100,A_J,141.0,266.0,1e-05,249,108.0,0.5662650602409639,0.3464373464373464,3.759398354909837e-08,0.4298780487804879,100_500
clever,100,A_J,206.0,102.0,1e-05,249,43.0,0.8273092369477911,0.6688311688311688,9.803920607458763e-08,0.7396768402154398,100_500
delly,100,A_J,162.0,43.0,1e-05,249,87.0,0.6506024096385542,0.7902439024390244,2.3255808545160803e-07,0.7136563876651983,100_500
gasv,100,A_J,20.0,1535.0,1.0,249,229.0,0.08032128514056225,0.012861736334405145,0.0006510416666666666,0.022172949002217297,100_500
gridss,100,A_J,180.0,58.0,1.0,249,69.0,0.7228915662650602,0.7563025210084033,0.01694915254237288,0.7392197125256673,100_500
indelminer,100,A_J,51.0,9.0,1e-05,249,198.0,0.20481927710843373,0.85,1.1111098765445817e-06,0.33009708737864074,100_500
lumpexpress,100,A_J,147.0,19.0,1e-05,249,102.0,0.5903614457831325,0.8855421686746988,5.263155124655198e-07,0.7084337349397589,100_500
mistrvar,100,A_J,101.0,71.0,1e-05,249,148.0,0.40562248995983935,0.5872093023255814,1.4084505058520414e-07,0.4798099762470309,100_500
pindel,100,A_J,165.0,150.0,2.0,249,84.0,0.6626506024096386,0.5238095238095238,0.013157894736842105,0.5851063829787234,100_500
smoove,100,A_J,153.0,19.0,1e-05,249,96.0,0.6144578313253012,0.8895348837209303,5.263155124655198e-07,0.7268408551068885,100_500
sniffles,100,A_J,90.0,2.0,1e-05,249,159.0,0.3614457831325301,0.9782608695652174,4.999975000125e-06,0.5278592375366569,100_500
BioGraph*,100,A_J,147.0,44.0,1e-05,249,102.0,0.5903614457831325,0.7696335078534031,2.2727267561984644e-07,0.6681818181818182,100_500
breakdancer,100,C3H_HeJ,125.0,139.0,1e-05,267,142.0,0.4681647940074906,0.4734848484848485,7.19424408674503e-08,0.4708097928436912,100_500
clever,100,C3H_HeJ,220.0,158.0,1e-05,267,47.0,0.8239700374531835,0.582010582010582,6.329113523473826e-08,0.6821705426356588,100_500
delly,100,C3H_HeJ,172.0,50.0,1.0,267,95.0,0.6441947565543071,0.7747747747747747,0.0196078431372549,0.703476482617587,100_500
gasv,100,C3H_HeJ,18.0,1661.0,1.0,267,249.0,0.06741573033707865,0.01072066706372841,0.0006016847172081829,0.0184994861253854,100_500
gridss,100,C3H_HeJ,189.0,62.0,2.0,267,78.0,0.7078651685393258,0.7529880478087649,0.03125,0.7297297297297297,100_500
indelminer,100,C3H_HeJ,47.0,14.0,1e-05,267,220.0,0.1760299625468165,0.7704918032786885,7.14285204081997e-07,0.28658536585365857,100_500
lumpexpress,100,C3H_HeJ,167.0,24.0,1e-05,267,100.0,0.6254681647940075,0.8743455497382199,4.1666649305562796e-07,0.7292576419213973,100_500
mistrvar,100,C3H_HeJ,94.0,65.0,1e-05,267,173.0,0.352059925093633,0.5911949685534591,1.5384613017751847e-07,0.4413145539906103,100_500
pindel,100,C3H_HeJ,184.0,170.0,4.0,267,83.0,0.6891385767790262,0.519774011299435,0.02298850574712644,0.5925925925925926,100_500
smoove,100,C3H_HeJ,169.0,24.0,1e-05,267,98.0,0.6329588014981273,0.8756476683937824,4.1666649305562796e-07,0.7347826086956522,100_500
sniffles,100,C3H_HeJ,94.0,7.0,1e-05,267,173.0,0.352059925093633,0.9306930693069309,1.4285693877580176e-06,0.5108695652173914,100_500
BioGraph*,100,C3H_HeJ,137.0,43.0,1e-05,267,130.0,0.5131086142322098,0.7611111111111111,2.3255808545160803e-07,0.6129753914988814,100_500
breakdancer,100,CBA_J,156.0,145.0,1e-05,304,148.0,0.5131578947368421,0.5182724252491694,6.896551248513708e-08,0.515702479338843,100_500
clever,100,CBA_J,260.0,175.0,2.0,304,44.0,0.8552631578947368,0.5977011494252874,0.011299435028248588,0.7036535859269284,100_500
delly,100,CBA_J,199.0,55.0,1.0,304,105.0,0.6546052631578947,0.7834645669291339,0.017857142857142856,0.7132616487455197,100_500
gasv,100,CBA_J,31.0,1425.0,1.0,304,273.0,0.10197368421052633,0.021291208791208792,0.0007012622720897617,0.03522727272727273,100_500
gridss,100,CBA_J,212.0,61.0,3.0,304,92.0,0.6973684210526315,0.7765567765567766,0.046875,0.7348353552859618,100_500
indelminer,100,CBA_J,81.0,16.0,1.0,304,223.0,0.26644736842105265,0.8350515463917526,0.05882352941176471,0.40399002493765584,100_500
lumpexpress,100,CBA_J,196.0,21.0,1e-05,304,108.0,0.6447368421052632,0.9032258064516128,4.7619024943321456e-07,0.7523992322456813,100_500
mistrvar,100,CBA_J,111.0,57.0,1e-05,304,193.0,0.3651315789473684,0.6607142857142857,1.7543856571253234e-07,0.4703389830508474,100_500
pindel,100,CBA_J,198.0,165.0,5.0,304,106.0,0.6513157894736842,0.5454545454545454,0.029411764705882356,0.5937031484257871,100_500
smoove,100,CBA_J,201.0,20.0,1e-05,304,103.0,0.6611842105263158,0.9095022624434388,4.999997500001252e-07,0.7657142857142857,100_500
sniffles,100,CBA_J,116.0,8.0,1e-05,304,188.0,0.3815789473684211,0.935483870967742,1.249998437501953e-06,0.5420560747663552,100_500
BioGraph*,100,CBA_J,157.0,40.0,1e-05,304,147.0,0.5164473684210527,0.7969543147208121,2.4999993750001564e-07,0.6267465069860281,100_500
breakdancer,100,DBA_2J,152.0,142.0,1e-05,315,163.0,0.4825396825396826,0.5170068027210885,7.042253025193449e-08,0.4991789819376027,100_500
clever,100,DBA_2J,262.0,193.0,1.0,315,53.0,0.8317460317460318,0.5758241758241758,0.005154639175257732,0.6805194805194805,100_500
delly,100,DBA_2J,197.0,56.0,1.0,315,118.0,0.6253968253968254,0.7786561264822134,0.017543859649122806,0.6936619718309859,100_500
gasv,100,DBA_2J,33.0,1391.0,1.0,315,282.0,0.10476190476190476,0.023174157303370788,0.0007183908045977011,0.03795284646348476,100_500
gridss,100,DBA_2J,220.0,68.0,2.0,315,95.0,0.6984126984126984,0.7638888888888888,0.028571428571428567,0.7296849087893864,100_500
indelminer,100,DBA_2J,75.0,19.0,1.0,315,240.0,0.2380952380952381,0.7978723404255319,0.05,0.3667481662591687,100_500
lumpexpress,100,DBA_2J,197.0,20.0,1e-05,315,118.0,0.6253968253968254,0.9078341013824884,4.999997500001252e-07,0.7406015037593985,100_500
mistrvar,100,DBA_2J,104.0,57.0,1e-05,315,211.0,0.3301587301587301,0.6459627329192547,1.7543856571253234e-07,0.4369747899159664,100_500
pindel,100,DBA_2J,199.0,166.0,4.0,315,116.0,0.6317460317460317,0.5452054794520548,0.023529411764705882,0.5852941176470589,100_500
smoove,100,DBA_2J,202.0,21.0,1e-05,315,113.0,0.6412698412698413,0.9058295964125559,4.7619024943321456e-07,0.7509293680297399,100_500
sniffles,100,DBA_2J,91.0,7.0,1e-05,315,224.0,0.2888888888888889,0.9285714285714286,1.4285693877580176e-06,0.4406779661016949,100_500
BioGraph*,100,DBA_2J,161.0,40.0,1e-05,315,154.0,0.5111111111111111,0.8009950248756219,2.4999993750001564e-07,0.624031007751938,100_500
breakdancer,100,LP_J,87.0,134.0,1e-05,228,141.0,0.3815789473684211,0.3936651583710407,7.462686010247312e-08,0.38752783964365256,100_500
clever,100,LP_J,200.0,155.0,1e-05,228,28.0,0.8771929824561403,0.5633802816901409,6.451612486992742e-08,0.6861063464837049,100_500
delly,100,LP_J,138.0,27.0,1e-05,228,90.0,0.6052631578947368,0.8363636363636363,3.703702331962099e-07,0.7022900763358779,100_500
gasv,100,LP_J,17.0,1441.0,1e-05,228,211.0,0.07456140350877193,0.01165980795610425,6.939625212077549e-09,0.020166073546856463,100_500
gridss,100,LP_J,153.0,54.0,1.0,228,75.0,0.6710526315789473,0.7391304347826086,0.01818181818181818,0.7034482758620689,100_500
indelminer,100,LP_J,54.0,18.0,1e-05,228,174.0,0.2368421052631579,0.75,5.555552469137518e-07,0.36,100_500
lumpexpress,100,LP_J,141.0,20.0,1e-05,228,87.0,0.618421052631579,0.8757763975155279,4.999997500001252e-07,0.7249357326478149,100_500
mistrvar,100,LP_J,71.0,43.0,1e-05,228,157.0,0.31140350877192985,0.6228070175438597,2.3255808545160803e-07,0.4152046783625731,100_500
pindel,100,LP_J,136.0,155.0,2.0,228,92.0,0.5964912280701754,0.4673539518900344,0.012738853503184714,0.5240847784200385,100_500
smoove,100,LP_J,140.0,23.0,1e-05,228,88.0,0.6140350877192983,0.8588957055214724,4.347824196598176e-07,0.7161125319693095,100_500
sniffles,100,LP_J,59.0,5.0,1e-05,228,169.0,0.25877192982456143,0.921875,1.999996000008e-06,0.404109589041096,100_500
BioGraph*,100,LP_J,109.0,28.0,1e-05,228,119.0,0.4780701754385965,0.7956204379562044,3.5714272959188225e-07,0.5972602739726027,100_500
breakdancer,100,AKR_J,47.0,26.0,5.0,83,36.0,0.5662650602409639,0.6438356164383562,0.16129032258064516,0.6025641025641025,500_1000
clever,100,AKR_J,31.0,4.0,10.0,83,52.0,0.3734939759036144,0.8857142857142857,0.7142857142857143,0.5254237288135593,500_1000
delly,100,AKR_J,42.0,25.0,10.0,83,41.0,0.5060240963855421,0.6268656716417911,0.2857142857142857,0.5599999999999999,500_1000
gasv,100,AKR_J,19.0,349.0,1.0,83,64.0,0.2289156626506024,0.051630434782608696,0.002857142857142857,0.08425720620842574,500_1000
gridss,100,AKR_J,41.0,15.0,6.0,83,42.0,0.4939759036144578,0.7321428571428571,0.2857142857142857,0.5899280575539567,500_1000
indelminer,100,AKR_J,3.0,9.0,1e-05,83,80.0,0.03614457831325301,0.25,1.1111098765445817e-06,0.06315789473684211,500_1000
lumpexpress,100,AKR_J,39.0,14.0,1e-05,83,44.0,0.4698795180722892,0.7358490566037735,7.14285204081997e-07,0.5735294117647058,500_1000
mistrvar,100,AKR_J,3.0,3.0,1.0,83,80.0,0.03614457831325301,0.5,0.25,0.06741573033707865,500_1000
pindel,100,AKR_J,38.0,9.0,1.0,83,45.0,0.4578313253012048,0.8085106382978723,0.1,0.5846153846153845,500_1000
smoove,100,AKR_J,38.0,13.0,8.0,83,45.0,0.4578313253012048,0.7450980392156863,0.3809523809523809,0.5671641791044776,500_1000
sniffles,100,AKR_J,5.0,2.0,1e-05,83,78.0,0.060240963855421686,0.7142857142857143,4.999975000125e-06,0.1111111111111111,500_1000
BioGraph*,100,AKR_J,1e-05,1e-05,1e-05,83,82.99999,1.204819277108434e-07,0.5,0.5,2.409637973581212e-07,500_1000
breakdancer,100,A_J,41.0,15.0,4.0,74,33.0,0.5540540540540541,0.7321428571428571,0.21052631578947367,0.6307692307692307,500_1000
clever,100,A_J,36.0,9.0,8.0,74,38.0,0.4864864864864865,0.8,0.4705882352941176,0.6050420168067226,500_1000
delly,100,A_J,41.0,36.0,6.0,74,33.0,0.5540540540540541,0.5324675324675324,0.14285714285714285,0.543046357615894,500_1000
gasv,100,A_J,17.0,102.0,1.0,74,57.0,0.2297297297297297,0.14285714285714285,0.009708737864077669,0.17616580310880825,500_1000
gridss,100,A_J,36.0,27.0,4.0,74,38.0,0.4864864864864865,0.5714285714285714,0.12903225806451613,0.5255474452554744,500_1000
indelminer,100,A_J,2.0,4.0,1e-05,74,72.0,0.027027027027027032,0.3333333333333333,2.4999937500156254e-06,0.05,500_1000
lumpexpress,100,A_J,36.0,14.0,4.0,74,38.0,0.4864864864864865,0.72,0.2222222222222222,0.5806451612903226,500_1000
mistrvar,100,A_J,1.0,1.0,1e-05,74,73.0,0.013513513513513514,0.5,9.999900000999989e-06,0.026315789473684213,500_1000
pindel,100,A_J,34.0,11.0,1e-05,74,40.0,0.4594594594594595,0.7555555555555555,9.090900826453794e-07,0.5714285714285715,500_1000
smoove,100,A_J,38.0,13.0,4.0,74,36.0,0.5135135135135135,0.7450980392156863,0.2352941176470588,0.6079999999999999,500_1000
sniffles,100,A_J,14.0,1.0,1e-05,74,60.0,0.1891891891891892,0.9333333333333332,9.999900000999989e-06,0.3146067415730337,500_1000
BioGraph*,100,A_J,1e-05,1e-05,1e-05,74,73.99999,1.3513513513513515e-07,0.5,0.5,2.7027019722427105e-07,500_1000
breakdancer,100,C3H_HeJ,45.0,18.0,3.0,80,35.0,0.5625,0.7142857142857143,0.14285714285714285,0.6293706293706294,500_1000
clever,100,C3H_HeJ,36.0,7.0,10.0,80,44.0,0.45,0.8372093023255814,0.5882352941176471,0.5853658536585366,500_1000
delly,100,C3H_HeJ,46.0,25.0,9.0,80,34.0,0.575,0.647887323943662,0.2647058823529412,0.6092715231788081,500_1000
gasv,100,C3H_HeJ,23.0,147.0,1.0,80,57.0,0.2875,0.1352941176470588,0.006756756756756757,0.184,500_1000
gridss,100,C3H_HeJ,36.0,18.0,7.0,80,44.0,0.45,0.6666666666666666,0.28,0.5373134328358209,500_1000
indelminer,100,C3H_HeJ,2.0,2.0,1e-05,80,78.0,0.025,0.5,4.999975000125e-06,0.047619047619047616,500_1000
lumpexpress,100,C3H_HeJ,39.0,16.0,8.0,80,41.0,0.4875,0.7090909090909091,0.3333333333333333,0.5777777777777778,500_1000
mistrvar,100,C3H_HeJ,2.0,1.0,1e-05,80,78.0,0.025,0.6666666666666666,9.999900000999989e-06,0.04819277108433735,500_1000
pindel,100,C3H_HeJ,34.0,9.0,1.0,80,46.0,0.425,0.7906976744186046,0.1,0.5528455284552846,500_1000
smoove,100,C3H_HeJ,38.0,17.0,8.0,80,42.0,0.475,0.6909090909090909,0.32,0.5629629629629629,500_1000
sniffles,100,C3H_HeJ,18.0,3.0,1e-05,80,62.0,0.225,0.8571428571428571,3.3333222222592593e-06,0.3564356435643564,500_1000
BioGraph*,100,C3H_HeJ,1e-05,1e-05,1e-05,80,79.99999,1.2500000000000002e-07,0.5,0.5,2.4999993750001564e-07,500_1000
breakdancer,100,DBA_2J,47.0,25.0,3.0,91,44.0,0.5164835164835165,0.6527777777777778,0.10714285714285714,0.5766871165644172,500_1000
clever,100,DBA_2J,41.0,8.0,9.0,91,50.0,0.4505494505494506,0.8367346938775511,0.5294117647058824,0.5857142857142857,500_1000
delly,100,DBA_2J,47.0,31.0,5.0,91,44.0,0.5164835164835165,0.6025641025641025,0.1388888888888889,0.5562130177514794,500_1000
gasv,100,DBA_2J,28.0,172.0,1.0,91,63.0,0.3076923076923077,0.14,0.005780346820809247,0.19243986254295534,500_1000
gridss,100,DBA_2J,38.0,21.0,7.0,91,53.0,0.4175824175824176,0.6440677966101694,0.25,0.5066666666666667,500_1000
indelminer,100,DBA_2J,3.0,4.0,1.0,91,88.0,0.03296703296703297,0.42857142857142855,0.2,0.061224489795918366,500_1000
lumpexpress,100,DBA_2J,40.0,21.0,8.0,91,51.0,0.4395604395604396,0.6557377049180327,0.27586206896551724,0.5263157894736842,500_1000
mistrvar,100,DBA_2J,3.0,1.0,1e-05,91,88.0,0.03296703296703297,0.75,9.999900000999989e-06,0.06315789473684211,500_1000
pindel,100,DBA_2J,40.0,11.0,1.0,91,51.0,0.4395604395604396,0.7843137254901961,0.08333333333333333,0.5633802816901408,500_1000
smoove,100,DBA_2J,39.0,20.0,8.0,91,52.0,0.42857142857142855,0.6610169491525424,0.2857142857142857,0.52,500_1000
sniffles,100,DBA_2J,14.0,2.0,1e-05,91,77.0,0.15384615384615385,0.875,4.999975000125e-06,0.2616822429906543,500_1000
BioGraph*,100,DBA_2J,1e-05,1e-05,1e-05,91,90.99999,1.0989010989010989e-07,0.5,0.5,2.197801714768854e-07,500_1000
breakdancer,100,LP_J,33.0,14.0,3.0,70,37.0,0.4714285714285714,0.7021276595744681,0.17647058823529413,0.5641025641025642,500_1000
clever,100,LP_J,32.0,4.0,7.0,70,38.0,0.4571428571428571,0.8888888888888888,0.6363636363636364,0.6037735849056604,500_1000
delly,100,LP_J,37.0,23.0,5.0,70,33.0,0.5285714285714286,0.6166666666666667,0.17857142857142858,0.5692307692307693,500_1000
gasv,100,LP_J,20.0,171.0,1e-05,70,50.0,0.2857142857142857,0.10471204188481677,5.8479528743887224e-08,0.15325670498084293,500_1000
gridss,100,LP_J,33.0,18.0,4.0,70,37.0,0.4714285714285714,0.6470588235294118,0.18181818181818185,0.5454545454545455,500_1000
indelminer,100,LP_J,3.0,4.0,1e-05,70,67.0,0.042857142857142864,0.42857142857142855,2.4999937500156254e-06,0.07792207792207792,500_1000
lumpexpress,100,LP_J,29.0,18.0,7.0,70,41.0,0.4142857142857143,0.6170212765957447,0.28,0.4957264957264958,500_1000
mistrvar,100,LP_J,1.0,1.0,1e-05,70,69.0,0.014285714285714284,0.5,9.999900000999989e-06,0.02777777777777778,500_1000
